Year,Sex,Age,Value
2021,Female,20 and over,794
2022,Female,20 and over,879
2023,Female,20 and over,914
2009,Female,20 to 24,383
2010,Female,20 to 24,432
2011,Female,20 to 24,369
2012,Female,20 to 24,388
2013,Female,20 to 24,389
2014,Female,20 to 24,414
2015,Female,20 to 24,422
2016,Female,20 to 24,452
2017,Female,20 to 24,479
2018,Female,20 to 24,566
2019,Female,20 to 24,494
2020,Female,20 to 24,539
2021,Female,20 to 24,578
2022,Female,20 to 24,680
2023,Female,20 to 24,692
2009,Female,25 and over,625
2010,Female,25 and over,613
2011,Female,25 and over,635
2012,Female,25 and over,646
2013,Female,25 and over,664
2014,Female,25 and over,655
2015,Female,25 and over,668
2016,Female,25 and over,699
2017,Female,25 and over,709
2018,Female,25 and over,722
2019,Female,25 and over,742
2020,Female,25 and over,791
2021,Female,25 and over,822
2022,Female,25 and over,902
2023,Female,25 and over,939
2009,Female,25 to 34,498
2010,Female,25 to 34,556
2011,Female,25 to 34,561
2012,Female,25 to 34,576
2013,Female,25 to 34,567
2014,Female,25 to 34,526
2015,Female,25 to 34,577
2016,Female,25 to 34,562
2017,Female,25 to 34,649
2018,Female,25 to 34,677
2019,Female,25 to 34,667
2020,Female,25 to 34,723
2021,Female,25 to 34,750
2022,Female,25 to 34,970
2023,Female,25 to 34,900
2009,Female,35 to 44,634
2010,Female,35 to 44,681
2011,Female,35 to 44,645
2012,Female,35 to 44,602
2013,Female,35 to 44,684
2014,Female,35 to 44,655
2015,Female,35 to 44,673
2016,Female,35 to 44,729
2017,Female,35 to 44,704
2018,Female,35 to 44,764
2019,Female,35 to 44,823
2020,Female,35 to 44,793
2021,Female,35 to 44,884
2022,Female,35 to 44,920
2023,Female,35 to 44,994
2009,Female,45 to 54,646
2010,Female,45 to 54,608
2011,Female,45 to 54,646
2012,Female,45 to 54,638
2013,Female,45 to 54,682
2014,Female,45 to 54,695
2015,Female,45 to 54,675
2016,Female,45 to 54,740
2017,Female,45 to 54,735
2018,Female,45 to 54,768
2019,Female,45 to 54,748
2020,Female,45 to 54,776
2021,Female,45 to 54,859
2022,Female,45 to 54,912
2023,Female,45 to 54,1017
2009,Female,55 to 64,665
2010,Female,55 to 64,641
2011,Female,55 to 64,672
2012,Female,55 to 64,743
2013,Female,55 to 64,731
2014,Female,55 to 64,706
2015,Female,55 to 64,670
2016,Female,55 to 64,732
2017,Female,55 to 64,740
2018,Female,55 to 64,731
2019,Female,55 to 64,764
2020,Female,55 to 64,866
2021,Female,55 to 64,843
2022,Female,55 to 64,883
2023,Female,55 to 64,910
2009,Female,65 and over,628
2010,Female,65 and over,561
2011,Female,65 and over,575
2012,Female,65 and over,593
2013,Female,65 and over,668
2014,Female,65 and over,571
2015,Female,65 and over,736
2016,Female,65 and over,660
2017,Female,65 and over,696
2018,Female,65 and over,694
2019,Female,65 and over,709
2020,Female,65 and over,785
2021,Female,65 and over,803
2022,Female,65 and over,765
2023,Female,65 and over,827
